gene_symbol	Ensembl_ID	length	R20230019_08_EKRN230075585-1A_22HFFNLT3_L4	R20230019_13_EKRN230075590-1A_22HFFNLT3_L4	R20230019_01_EKRN230075578-1A_22HFFNLT3_L3	R20230019_09_EKRN230075586-1A_22HFFNLT3_L4	R20230019_02_EKRN230075579-1A_222JL7LT4_L2	R20230019_03_EKRN230075580-1A_22HFFNLT3_L3	R20230019_16_EKRN230075593-1A_222JL7LT4_L2	R20230019_04_EKRN230075581-1A_222T7MLT4_L1	R20230019_07_EKRN230075584-1A_22HFFNLT3_L4	R20230019_11_EKRN230075588-1A_22HFFNLT3_L4	R20230019_10_EKRN230075587-1A_22HFFNLT3_L4	R20230019_05_EKRN230075582-1A_22HFFNLT3_L3	R20230019_14_EKRN230075591-1A_22HFFNLT3_L4	R20230019_15_EKRN230075592-1A_222JL7LT4_L2	R20230019_06_EKRN230075583-1A_22HFFNLT3_L4	R20230019_12_EKRN230075589-1A_22HFFNLT3_L4
FAM86B2	ENSG00000145002	2888	0	251	18	14	9	7	0	6	228	16	0	163	0	0	175	2
OSR2	ENSG00000164920	2930	377	113	5	16	4	0	355	0	68	12	8	65	341	314	61	11
CCAR2	ENSG00000158941	5859	2984	2170	4236	3894	4238	2741	2796	2121	2192	2952	3181	1792	2874	2688	3061	3548
PCM1	ENSG00000078674	14321	6682	3458	19986	7486	23148	14358	7981	7196	3055	5259	6449	3053	7150	6788	3351	5115
STMN4	ENSG00000015592	3309	0	0	17	3	13	15	0	10	0	1	5	0	1	0	6	1
	ENSG00000253859	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMP2	ENSG00000147588	3524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
FABP9	ENSG00000205186	585	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0
FABP4	ENSG00000170323	1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000253374	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FTH1P11	ENSG00000237264	551	19	35	13	2	23	5	50	5	24	1	5	20	23	20	41	11
IMPA1P1	ENSG00000251521	977	0	0	2	0	0	0	0	0	0	0	0	2	2	0	3	0
NIPA2P4	ENSG00000254151	1341	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS26P34	ENSG00000240427	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC10A5P1	ENSG00000205184	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
IMPA1	ENSG00000133731	4405	2889	824	590	1070	740	418	3484	225	795	843	935	598	2668	3133	1001	872
	ENSG00000288761	940	4	0	2	0	0	1	5	0	0	0	0	0	0	1	4	0
	ENSG00000289048	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000288964	624	0	2	93	15	104	46	0	86	8	25	13	4	1	11	1	23
LINC02055	ENSG00000254101	25498	12	92	1	876	2	0	52	0	125	561	750	79	38	22	137	597
	ENSG00000289521	758	5	9	1	1	8	1	1	0	11	1	4	5	8	11	18	2
	ENSG00000289225	695	14	0	2	1	3	4	7	5	0	2	0	0	11	11	0	2
	ENSG00000277332	1393	0	0	96	0	63	45	0	87	0	0	7	0	5	0	0	0
	ENSG00000253196	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000289461	424	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0
	ENSG00000253154	4857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000289275	1185	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
	ENSG00000289603	675	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000289036	374	0	2	9	0	9	10	0	6	4	0	0	0	0	0	5	0
	ENSG00000254290	2379	0	5	1	0	0	0	0	3	1	0	0	1	0	0	0	0
LINC01605	ENSG00000253161	2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000253666	3331	5	94	1	2	3	1	1	0	53	7	0	35	4	0	70	14
	ENSG00000253553	10570	15	8	54	3	38	52	8	13	4	0	0	3	8	9	9	0
PENK-AS1	ENSG00000254254	7727	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
LINC00681	ENSG00000255494	505	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	ENSG00000288735	607	0	3	0	0	0	0	3	0	0	0	0	2	3	0	5	5
	ENSG00000289316	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBR5-DT	ENSG00000246263	3123	366	101	6	3	19	20	250	10	69	11	6	84	320	352	101	15
	ENSG00000289477	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000254812	1066	40	35	1	7	0	0	20	0	38	0	9	43	41	17	75	8
	ENSG00000287301	1415	0	0	1	0	0	3	0	2	0	0	4	0	0	0	0	2
	ENSG00000289104	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00968	ENSG00000246430	4497	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0
LNCOC1	ENSG00000253741	7617	8	106	0	0	4	1	3	3	37	0	3	50	13	13	105	0
	ENSG00000289263	363	0	0	1	0	1	1	0	0	1	0	0	0	2	0	0	0
	ENSG00000289473	1210	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO5A1-AS1	ENSG00000246528	1995	99	29	91	48	81	61	119	20	32	32	62	20	104	87	54	42
LINC00861	ENSG00000245164	8769	119	40	741	690	866	389	100	463	23	444	559	23	170	144	16	389
	ENSG00000289405	2368	24	15	5	17	7	2	11	2	21	19	3	15	20	45	25	6
	ENSG00000288782	1356	0	0	2	0	0	0	2	0	0	2	0	2	0	0	3	3
	ENSG00000289095	1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000253339	2448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000253214	2786	22	29	8	0	4	8	12	1	6	5	10	8	21	27	8	0
VIRMA-DT	ENSG00000253704	3039	28	63	14	13	2	1	28	6	17	0	9	18	32	37	51	5
	ENSG00000254153	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000167912	4139	9	0	103	47	107	74	18	38	0	47	50	0	8	9	0	54
LINC01607	ENSG00000272138	4149	2	15	4	8	2	0	0	0	11	2	0	7	0	7	17	0
LINC00964	ENSG00000249816	12039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A-AS1	ENSG00000204949	3046	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	7
	ENSG00000289050	744	151	74	21	43	31	13	109	14	41	40	67	49	120	102	24	27
	ENSG00000289338	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000253369	3897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM86B3P	ENSG00000173295	4870	44	549	521	170	383	338	31	214	740	96	238	480	68	42	583	207
LINC02904	ENSG00000177335	4087	0	28	59	0	23	15	0	14	23	0	0	27	0	0	113	0
ZFHX4-AS1	ENSG00000253661	10665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01301	ENSG00000251396	9878	61	11	72	33	84	52	43	56	3	29	13	2	62	92	11	12
MIR124-2HG	ENSG00000254377	5735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG1L13P	ENSG00000253981	4247	73	176	477	115	528	334	140	204	307	89	97	165	78	78	227	104
	ENSG00000289622	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000288985	2418	0	0	0	5	0	0	0	0	0	6	1	0	0	0	0	0
	ENSG00000283959	3392	134	55	5	14	4	3	98	0	22	12	6	30	92	136	41	4
ZNF252P	ENSG00000196922	9438	951	1324	353	1577	370	245	1135	119	1023	1144	1276	1001	974	900	1750	980
	ENSG00000289411	562	0	0	5	0	0	2	0	2	0	0	0	0	0	0	0	0
	ENSG00000288752	1807	93	64	2	1	9	10	102	2	64	2	3	48	67	99	73	0
OTUD6B-AS1	ENSG00000253738	9834	2410	1801	1145	406	1103	793	2352	466	1217	288	412	1266	2279	2243	2283	360
	ENSG00000289161	1457	533	316	2	129	4	4	502	3	184	149	127	191	490	588	288	142
BAALC-AS2	ENSG00000236939	674	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
	ENSG00000253796	2006	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
MIR124-1HG	ENSG00000253230	5482	0	0	0	0	0	0	1	0	0	0	0	1	0	4	1	0
	ENSG00000253507	1239	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0
CFAP418-AS1	ENSG00000253773	6259	41	0	23	2	5	3	20	8	9	2	0	9	28	19	1	3
	ENSG00000289382	924	43	9	6	8	2	0	12	2	10	8	14	8	25	27	9	7
	ENSG00000288818	741	94	11	71	56	53	50	47	37	17	32	28	15	82	68	33	14
KBTBD11-AS1	ENSG00000253764	2509	20	0	0	0	0	0	15	0	0	0	0	0	25	3	0	0
PVT1	ENSG00000249859	25320	3604	1496	369	1346	384	273	2608	214	1253	976	1064	1155	3317	3036	1948	904
	ENSG00000289242	333	0	0	1	0	1	0	0	0	0	0	0	3	1	5	4	0
LY6E-DT	ENSG00000247317	3853	2	1	5	0	6	11	0	2	10	0	0	12	6	1	26	0
RNF139-DT	ENSG00000245149	6953	405	156	160	209	125	104	300	78	234	108	130	184	345	316	329	117
	ENSG00000248538	17617	3	8	50	28	56	19	5	30	15	22	31	13	8	0	19	39
	ENSG00000254002	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000228801	4893	1193	549	267	235	254	184	1269	149	316	178	164	429	1218	1084	524	173
MCPH1-AS1	ENSG00000249898	11211	107	50	177	81	185	153	154	87	45	34	35	20	103	76	56	51
	ENSG00000288756	1535	338	24	93	15	77	50	180	27	9	24	10	14	247	302	39	27
CLN8-AS1	ENSG00000253982	2313	157	19	88	99	87	82	84	49	5	80	79	9	129	96	48	79
DENND3-AS1	ENSG00000253210	2789	381	28	61	110	79	49	292	21	27	115	189	34	277	232	22	153
	ENSG00000289334	1047	48	22	28	11	7	17	15	16	25	21	19	12	36	25	24	13
CASC8	ENSG00000246228	2351	30	0	0	1	0	0	28	0	0	0	0	0	22	24	0	0
	ENSG00000247134	1791	57	108	386	202	359	295	59	235	101	171	275	75	65	65	115	216
RIPK2-DT	ENSG00000251136	19547	871	454	197	96	130	118	568	81	417	85	60	377	747	597	612	82
	ENSG00000254339	2618	8	41	0	0	0	0	2	0	48	0	2	30	6	8	83	0
	ENSG00000254092	13398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000254139	2481	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0
SMPD5	ENSG00000204791	2179	91	17	0	20	0	0	45	0	23	36	23	10	67	68	35	15
	ENSG00000254277	2212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS13B-DT	ENSG00000253948	4226	100	138	40	6	17	17	63	31	60	18	24	72	67	48	133	19
LINC00534	ENSG00000253394	14872	0	22	2	0	0	0	1	4	14	0	0	19	1	0	30	0
PCAT1	ENSG00000253438	18439	74	17	23	12	10	24	92	27	6	43	26	4	54	30	9	20
	ENSG00000289514	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MINCR	ENSG00000253716	1535	798	277	139	116	100	67	608	97	319	136	165	274	605	682	304	152
	ENSG00000289323	481	0	0	0	1	1	3	0	0	0	7	0	0	0	0	0	3
	ENSG00000288897	1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000289584	619	15	35	5	8	2	0	12	2	19	6	6	29	10	9	59	16
	ENSG00000289145	2057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNHG6	ENSG00000245910	2527	5395	1320	6898	2769	4563	3896	3840	4572	917	3192	3452	806	3877	4052	2385	3547
	ENSG00000288966	1866	21	0	4	0	3	9	9	2	1	0	2	5	19	8	4	0
	ENSG00000289284	445	9	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0
	ENSG00000289357	957	122	18	97	151	164	77	111	35	39	101	122	24	92	100	42	85
	ENSG00000288945	1390	95	21	19	21	40	21	75	7	23	16	11	9	65	45	31	15
	ENSG00000289502	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000259366	1471	245	200	342	304	295	213	192	146	175	173	167	128	223	241	229	157
	ENSG00000289094	2012	10	25	16	0	13	6	17	7	29	0	0	13	12	19	15	9
MCPH1-DT	ENSG00000246089	2934	215	282	175	45	144	142	226	124	199	25	60	221	193	224	360	55
SLC10A5	ENSG00000253598	1428	24	38	24	18	24	35	22	10	15	11	22	29	42	23	29	18
	ENSG00000280193	2327	115	84	89	59	118	43	140	26	75	55	70	62	133	100	71	42
ZFAND1	ENSG00000104231	4214	4571	1630	1259	1441	1215	964	5092	601	1210	1044	1277	1494	4560	4096	1631	1050
CHMP4C	ENSG00000164695	1852	198	593	230	113	185	161	230	97	375	84	77	392	300	197	866	97
	ENSG00000253334	478	6	0	2	3	6	1	2	0	0	1	2	1	11	9	2	2
HNRNPA1P36	ENSG00000231942	955	2	0	1	2	0	2	0	5	0	2	0	0	6	0	0	0
FABP12	ENSG00000197416	979	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPAT4-AS1	ENSG00000253133	4033	3	0	2	5	0	1	1	0	0	3	19	4	2	5	3	9
KRT18P37	ENSG00000253943	1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS4	ENSG00000147536	5447	1942	463	1189	1471	1649	908	2339	681	687	1000	1211	488	2118	2375	418	1134
	ENSG00000253174	1189	31	12	18	19	12	15	44	5	7	11	9	13	51	40	1	15
	ENSG00000287535	1595	5	4	9	15	0	6	12	3	4	4	0	3	10	1	1	2
GPAT4	ENSG00000158669	7939	5311	1649	2378	2940	2589	1577	4808	842	1672	2318	2409	1237	4854	4618	2146	2369
	ENSG00000264578	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA7	ENSG00000147533	3495	841	480	735	931	770	558	1122	476	331	617	670	354	978	1098	562	707
	ENSG00000233575	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARM1P1	ENSG00000227835	1656	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
	ENSG00000224092	764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01230	ENSG00000281769	3017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000224836	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3P29	ENSG00000228783	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK3	ENSG00000147853	4395	3412	852	1003	4610	1169	649	4406	364	829	3833	4132	641	3655	3730	1111	3406
RCL1	ENSG00000120158	4140	776	633	782	1855	989	484	862	413	561	1386	1701	501	683	822	610	1456
RLN1	ENSG00000107018	1144	4	0	0	5	0	6	8	1	3	0	11	0	0	0	0	0
PLGRKT	ENSG00000107020	1542	556	360	510	523	466	343	647	428	392	437	430	324	518	644	549	397
RPL23AP57	ENSG00000206147	466	0	0	3	6	0	0	3	1	0	5	2	0	0	0	0	1
PDSS1P1	ENSG00000182347	1114	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0
MTND1P11	ENSG00000228166	876	0	0	1	4	1	5	0	1	0	2	10	2	0	0	0	1
PPIAP33	ENSG00000178654	555	0	0	0	2	0	0	0	0	0	7	8	0	0	0	0	2
MTCO2P11	ENSG00000235917	680	0	0	2	0	3	2	0	2	0	0	0	0	0	0	0	0
	ENSG00000225893	730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF3AP1	ENSG00000237274	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1P41	ENSG00000220937	928	1	0	0	2	0	0	1	1	0	0	1	1	0	0	0	0
CDC37L1	ENSG00000106993	3950	545	238	455	689	427	329	570	158	206	433	501	183	466	520	310	415
PRELID3BP11	ENSG00000231108	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000224972	553	0	0	0	0	0	1	0	0	0	3	0	1	1	0	0	0
	ENSG00000235533	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000278754	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO3P11	ENSG00000237711	774	0	0	9	4	1	3	0	0	0	1	3	0	2	0	0	0
	ENSG00000287465	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000236199	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000237553	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC39B	ENSG00000155158	12208	83	276	103	38	124	49	78	36	227	17	36	219	91	56	345	33
RPS29P33	ENSG00000226470	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1G2P1	ENSG00000234534	955	0	0	0	0	0	0	0	3	2	0	5	0	4	5	0	0
JKAMPP1	ENSG00000231491	919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1P11	ENSG00000228810	2007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF4P1	ENSG00000233186	1185	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0
	ENSG00000236921	443	0	0	3	0	0	1	0	0	0	1	8	0	0	0	0	0
	ENSG00000286684	954	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2B	ENSG00000147883	4000	188	190	1040	78	1020	800	163	480	144	83	104	108	178	119	258	84
INSL6	ENSG00000120210	1734	0	0	4	13	10	0	1	0	0	2	0	7	3	0	0	5
HMGN2P31	ENSG00000214195	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KIAA2026	ENSG00000183354	8497	1223	907	1986	1840	2045	1451	1515	757	747	1420	1602	754	1282	1237	1063	1207
	ENSG00000284418	2422	1	21	7	0	13	20	5	1	10	0	0	19	0	0	33	0
RPS27AP14	ENSG00000236594	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO1P11	ENSG00000224083	1528	0	0	7	3	0	5	0	0	0	2	1	0	0	0	0	0
	ENSG00000287759	1875	0	0	0	1	0	0	0	0	1	4	4	3	0	3	5	0
SUMO2P2	ENSG00000227607	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A1	ENSG00000106688	3974	0	7	0	3	0	0	0	0	2	0	0	0	0	0	3	0
MTATP6P11	ENSG00000228097	670	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0
	ENSG00000237158	517	2	0	14	2	10	4	4	2	0	3	1	0	3	3	0	3
	ENSG00000228165	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHEP2	ENSG00000254017	1256	0	0	2	5	3	0	0	5	0	2	3	3	2	0	0	1
PLPP6	ENSG00000205808	2965	524	534	543	153	499	351	507	173	396	152	192	399	537	513	611	101
MTND6P5	ENSG00000227730	512	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
MTND4P14	ENSG00000236254	1354	0	0	3	0	1	0	0	1	2	0	1	1	0	0	0	0
PDCD1LG2	ENSG00000197646	2432	25	19	7	110	2	8	24	8	12	136	92	8	32	43	28	95
CNTLN	ENSG00000044459	11064	877	448	383	366	565	326	1134	112	395	274	345	372	932	999	540	261
AKAP8P1	ENSG00000234146	1349	3	9	6	0	0	0	3	4	3	0	0	11	1	0	7	0
FTH1P12	ENSG00000213362	551	0	0	0	0	0	2	2	0	0	0	0	4	1	0	0	0
RNF152P1	ENSG00000214190	604	0	0	0	0	0	0	0	1	4	0	4	0	0	8	2	0
IFNWP9	ENSG00000226597	591	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
KCTD10P1	ENSG00000224955	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM215	ENSG00000188133	5342	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
	ENSG00000288556	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000273056	584	0	0	0	11	0	0	0	0	2	6	0	1	0	0	6	8
RANBP6	ENSG00000137040	4601	1381	1347	2021	1984	2274	1361	1647	746	1288	1379	1862	984	1383	1473	1940	1578
SELENOTP1	ENSG00000233846	487	8	15	10	18	5	7	10	1	9	16	29	3	8	6	13	13
IFNA16	ENSG00000147885	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P33	ENSG00000215236	742	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNA2	ENSG00000188379	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL9	ENSG00000198642	5740	1358	880	2195	650	2195	1363	1812	791	593	454	633	552	1590	1577	1116	472
	ENSG00000285688	1315	2	0	0	3	0	0	0	0	3	4	3	0	0	0	3	0
	ENSG00000228132	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRTA1	ENSG00000176399	5586	155	143	133	216	156	113	191	55	131	200	195	147	130	161	169	97
HAUS6	ENSG00000147874	7719	2423	1596	2648	1741	3324	2049	3075	928	1593	1067	1174	1318	2544	2923	1581	1105
	ENSG00000237083	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNRPEP2	ENSG00000256968	279	9	7	3	7	6	1	12	3	5	8	18	1	12	6	7	15
	ENSG00000287139	1811	5	0	0	0	0	0	0	0	0	0	0	1	13	0	1	0
SMU1	ENSG00000122692	7136	1799	1962	2149	3746	2186	1554	1987	935	1745	2496	3049	1627	1653	1844	2855	2636
MTCO3P30	ENSG00000229080	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD274	ENSG00000120217	4108	31	150	20	93	22	17	20	24	109	91	94	133	37	14	333	65
LINC01242	ENSG00000280683	1966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000237414	687	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2A-DT	ENSG00000224854	823	0	0	4	12	8	4	4	2	2	0	0	1	0	0	1	1
RPL3P11	ENSG00000223568	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000272866	615	0	0	1	3	0	1	0	0	0	3	0	1	0	0	4	2
	ENSG00000226376	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTAP	ENSG00000099810	14527	3340	2420	1725	2334	2397	1380	4350	594	2500	1649	1756	1873	3706	4007	2414	1537
IFNA6	ENSG00000120235	1544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERVFRD-3	ENSG00000264801	1617	0	6	12	0	11	4	0	2	0	15	2	0	0	0	0	0
	ENSG00000228739	499	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0
	ENSG00000231509	758	0	0	13	5	10	6	0	6	0	7	0	0	15	1	0	0
ECM1P1	ENSG00000270639	1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000233906	237	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
	ENSG00000261696	1459	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
CLIC4P1	ENSG00000236739	535	4	7	2	2	0	1	0	8	7	5	5	5	2	7	0	2
CLCN3P1	ENSG00000232000	11253	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0
LAGE3P1	ENSG00000225693	484	22	19	6	5	2	5	9	5	21	2	3	17	8	3	20	0
LINGO2	ENSG00000174482	3480	0	0	32	0	9	18	0	11	0	0	0	0	0	0	0	0
FAM71BP1	ENSG00000270683	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMM50P1	ENSG00000224488	1399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFAND6P1	ENSG00000244213	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000230365	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL35AP20	ENSG00000232946	331	3	0	19	1	4	2	6	6	0	5	12	0	7	8	2	0
ACTG1P14	ENSG00000230581	1122	15	0	3	20	7	0	0	5	0	0	0	0	7	4	1	0
PSIP1	ENSG00000164985	6744	4262	2090	7832	3300	8361	6300	4701	3049	1699	2462	2731	1544	4364	3979	2113	2217
APTX	ENSG00000137074	15614	1045	811	1373	2112	1354	956	990	693	942	1639	1931	713	969	938	1045	1733
CCDC171	ENSG00000164989	12194	27	28	224	37	150	184	33	96	37	42	50	47	36	50	53	27
B4GALT1-AS1	ENSG00000233554	3835	0	4	9	12	1	7	0	5	4	9	9	10	2	0	6	9
	ENSG00000254261	443	0	0	6	3	0	1	0	6	0	0	0	0	0	0	1	0
	ENSG00000229834	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000236796	1184	0	0	16	9	4	1	0	8	10	14	16	4	0	0	18	6
	ENSG00000228292	257	0	0	1	3	1	0	0	1	0	0	0	1	0	2	0	0
UHRF2	ENSG00000147854	9919	2689	1500	3170	4908	3061	1945	2670	1148	1285	3237	3939	1141	2626	2618	2083	3218
	ENSG00000277608	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000270372	110	31	0	53	0	38	25	25	51	3	0	0	0	15	17	0	0
	ENSG00000220105	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000269957	1254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB3P23	ENSG00000235148	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3AP54	ENSG00000229057	734	4	0	22	1	15	15	0	10	0	1	2	0	15	5	0	0
	ENSG00000276759	2320	0	0	2	4	0	1	0	0	1	12	0	1	0	0	0	0
	ENSG00000266446	435	4	8	12	0	7	6	4	6	4	4	0	9	8	22	1	0
H3P30	ENSG00000227443	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000230276	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHSRPP1	ENSG00000229835	1768	2	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0
SH3GL2	ENSG00000107295	2693	0	0	0	91	0	0	0	0	2	85	96	1	0	0	0	94
ATP5PDP3	ENSG00000213954	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000229060	1026	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IFNA13	ENSG00000233816	1539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000258885	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOP56P2	ENSG00000226626	769	2	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0
IFNA7	ENSG00000214042	737	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
	ENSG00000285784	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2S1P	ENSG00000228307	1859	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
	ENSG00000287318	3766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS26P2	ENSG00000233278	348	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CHCHD4P3	ENSG00000236156	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000231967	214	0	0	1	11	2	3	0	1	4	2	1	1	0	0	2	0
LURAP1L	ENSG00000153714	3062	479	209	45	176	26	37	530	23	162	174	144	145	514	416	267	146
LINC01627	ENSG00000224648	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000276963	657	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
