gene_symbol	Ensembl_ID	length	R20240016_C2_EKRN240009374-1A_223MF3LT4_L7	R20240016_C1_EKRN240009373-1A_22375FLT4_L6	R20240016_J2_EKRN240009376-1A_22375FLT4_L6	R240016_J4_1_EKRN240015053-1A_223L3FLT4_L7	R240016_C4_1_EKRN240015051-1A_223L3FLT4_L2	R240016_J3_1_EKRN240015052-1A_223L3FLT4_L6	R20240016_J1_EKRN240009375-1A_22375FLT4_L6	R240016_C3_1_EKRN240015050-1A_223L3FLT4_L4
PTPN6	ENSG00000111679	5009	12	9	19	10	12	25	18	17
MIR200CHG	ENSG00000257084	350	0	0	0	0	0	0	0	0
MIR200C	ENSG00000207713	68	0	0	0	0	0	0	0	0
MIR141	ENSG00000207708	95	0	0	0	0	0	0	0	0
	ENSG00000271969	434	0	0	0	0	0	0	1	0
SCARNA12	ENSG00000238795	270	0	0	0	0	0	0	0	0
EMG1	ENSG00000126749	6243	1172	1484	1194	738	1180	1190	1025	1544
TPI1	ENSG00000111669	2700	11833	15704	16273	8467	12000	15264	13559	15437
ATXN2	ENSG00000204842	16540	2055	1540	2959	1907	2004	3195	2327	2828
ETNK1	ENSG00000139163	13301	2396	2088	3392	2181	2046	3805	2548	3182
	ENSG00000284934	2351	5	7	13	13	6	4	7	17
	ENSG00000258091	255	0	0	0	0	0	0	0	0
RN7SL734P	ENSG00000243420	298	0	0	0	0	0	0	0	0
	ENSG00000257329	358	0	0	0	0	0	0	0	0
	ENSG00000198923	197	0	0	0	0	0	0	0	0
PHLDA1-AS1	ENSG00000257453	569	0	0	0	0	0	0	0	0
PHLDA1-DT	ENSG00000257839	779	4	5	3	3	4	4	2	6
NAP1L1	ENSG00000187109	17059	15643	17684	21698	13447	14934	22801	18714	20464
	ENSG00000257941	578	3	0	0	1	4	2	3	1
	ENSG00000258304	390	0	0	0	0	0	0	0	0
	ENSG00000257872	1186	0	0	0	0	0	0	0	0
RNU6-1271P	ENSG00000252858	105	0	0	0	0	0	0	0	0
TIGAR	ENSG00000078237	9444	203	173	239	155	173	203	181	235
	ENSG00000213970	992	1	0	4	1	0	2	3	0
FGF23	ENSG00000118972	4713	0	0	0	0	0	0	1	0
CCND2	ENSG00000118971	7988	0	0	1	0	0	0	1	0
GDF11	ENSG00000135414	8801	2272	1834	4732	2605	2019	4840	4204	2888
SARNP	ENSG00000205323	3365	7	12	5	7	8	18	5	5
	ENSG00000257390	2534	2	5	0	2	5	14	2	8
	ENSG00000257509	529	10	6	25	8	11	20	16	23
ORMDL2	ENSG00000123353	2688	251	312	411	262	264	474	333	354
MMP19	ENSG00000123342	4672	0	3	9	1	5	4	3	2
OLA1P3	ENSG00000257966	2555	0	0	0	0	0	4	1	0
GSTP1P1	ENSG00000257569	319	2	1	1	1	1	2	3	1
DGKA	ENSG00000065357	10098	367	342	510	308	434	472	356	489
	ENSG00000273973	560	1	5	4	7	4	15	9	9
	ENSG00000258554	565	0	0	0	0	0	0	0	0
LPAR5	ENSG00000184574	2771	6	6	4	4	11	7	0	13
ACRBP	ENSG00000111644	2816	35	27	69	51	32	96	64	73
ING4	ENSG00000111653	2709	826	981	1491	860	894	1627	1424	1381
PTMS	ENSG00000159335	1487	9679	14948	21569	11353	11192	18743	20228	13919
	ENSG00000258679	3942	0	0	0	0	0	0	0	1
	ENSG00000273536	301	0	0	0	0	0	0	0	0
	ENSG00000258816	193	0	0	0	0	0	0	0	0
	ENSG00000212383	134	0	0	0	0	0	0	0	0
SDR9C7	ENSG00000170426	1789	1	0	2	0	0	8	2	0
	ENSG00000278400	309	0	0	0	0	0	0	0	0
	ENSG00000278399	926	0	0	3	0	0	2	0	0
	ENSG00000287715	2893	1	4	1	0	4	3	7	1
GPR182	ENSG00000166856	3411	4	7	3	1	2	4	3	2
ZBTB39	ENSG00000166860	6268	1002	903	1392	704	995	1331	1219	1558
TAC3	ENSG00000166863	1571	5	6	9	4	2	6	4	9
MYO1A	ENSG00000166866	4450	0	0	1	1	1	2	0	0
NEMP1	ENSG00000166881	5730	2162	1662	2213	1508	1936	2444	1977	2830
NAB2	ENSG00000166886	2861	670	823	1085	496	615	937	962	1034
STAT6	ENSG00000166888	7298	10	12	3	4	9	7	8	9
HDAC7	ENSG00000061273	9928	1777	2110	1817	935	1939	1820	1694	2793
	ENSG00000268069	1080	1	3	1	2	4	7	2	3
	ENSG00000276691	546	1	3	0	0	1	2	3	3
	ENSG00000274737	516	2	1	2	2	1	0	0	3
LINC02354	ENSG00000257488	944	0	0	0	0	0	0	0	1
VDR	ENSG00000111424	5674	2	0	8	4	1	7	9	8
	ENSG00000205537	1287	0	1	0	0	0	0	0	0
	ENSG00000278385	1744	2	1	0	1	1	0	0	1
	ENSG00000279840	2973	0	0	0	0	0	0	0	2
TMEM106C	ENSG00000134291	3475	3018	3878	3731	2299	3377	3846	3298	4384
COL2A1	ENSG00000139219	6662	13	13	4	3	13	10	7	12
	ENSG00000258203	1044	0	0	0	0	0	0	0	0
	ENSG00000257985	3112	0	0	0	0	0	0	0	0
	ENSG00000257955	962	0	0	0	0	0	0	0	0
	ENSG00000276814	978	22	22	11	7	19	13	10	35
SENP1	ENSG00000079387	6114	1319	1247	1214	777	1366	1334	1131	2075
	ENSG00000240399	779	29	34	37	20	38	41	25	52
RNU6-1203P	ENSG00000222635	110	1	0	0	0	1	0	0	0
	ENSG00000226138	360	1	0	1	1	0	0	0	0
MIR6505	ENSG00000275770	71	1	0	0	0	1	0	1	1
MIR3908	ENSG00000266655	126	0	0	0	0	0	0	0	0
TMED2-DT	ENSG00000247373	8279	64	81	103	81	93	146	126	120
TMED2	ENSG00000086598	3833	4100	4335	4867	3148	4059	5075	4421	5529
DDX55	ENSG00000111364	5716	1408	1499	1971	1205	1448	2213	1849	2213
SNORA9B	ENSG00000206897	133	15	9	15	3	10	11	4	13
EIF2B1	ENSG00000111361	3627	2789	3091	3500	2017	2855	3710	3086	3783
GTF2H3	ENSG00000111358	3994	1221	1258	1881	1177	1220	2084	1567	1869
	ENSG00000279953	1418	10	7	5	4	6	9	7	5
	ENSG00000278861	601	29	8	26	22	9	27	22	34
	ENSG00000255839	321	0	0	0	0	0	0	0	0
ATP6V0A2	ENSG00000185344	17214	2251	1827	2520	1488	1923	2581	2027	2919
	ENSG00000286092	1299	3	2	6	0	5	7	5	1
RPL27P12	ENSG00000239215	394	0	0	1	0	0	0	0	0
	ENSG00000280300	549	0	0	0	0	0	0	0	0
DNAH10	ENSG00000197653	16234	112	106	124	76	125	165	128	141
DNAH10OS	ENSG00000250091	6003	174	175	238	180	190	278	269	282
	ENSG00000257095	607	1	1	1	0	0	1	0	1
	ENSG00000256884	577	0	0	0	0	0	0	0	0
	ENSG00000256609	541	0	0	0	0	1	0	0	0
	ENSG00000213144	545	29	20	20	27	24	35	33	51
	ENSG00000256311	501	0	0	0	0	0	0	0	0
LINC00934	ENSG00000281196	2381	1	0	1	0	0	0	0	2
HSPB8	ENSG00000152137	3581	73	113	13	4	82	19	10	87
SMCO2	ENSG00000165935	1978	0	3	1	2	2	0	1	0
RARS1P1	ENSG00000257037	1418	0	0	0	0	0	0	0	0
PPFIBP1	ENSG00000110841	11690	2243	1994	2451	1412	2056	2768	2320	3246
	ENSG00000248100	2639	1	2	1	0	0	0	0	2
	ENSG00000256056	928	2	0	0	0	0	0	1	1
	ENSG00000256557	314	2	0	0	0	2	0	0	1
MRPS35-DT	ENSG00000256377	1555	2	2	2	0	3	0	0	7
REP15	ENSG00000174236	1150	3	8	0	0	3	4	5	4
	ENSG00000276261	509	4	9	1	4	4	11	4	7
HMGB1P49	ENSG00000230519	569	1	3	0	0	1	0	0	3
	ENSG00000256504	429	0	0	0	0	0	0	0	0
MRPS35	ENSG00000061794	1930	1467	1574	1513	923	1522	1586	1318	2032
Y_RNA	ENSG00000252585	113	1	1	1	0	0	2	2	0
KLHL42	ENSG00000087448	7594	2502	2084	2690	1692	2279	2950	2315	3139
	ENSG00000256747	679	0	0	10	1	2	5	1	0
	ENSG00000256512	191	0	0	0	0	0	0	0	0
RN7SKP15	ENSG00000201612	309	0	0	0	0	0	0	0	0
	ENSG00000274075	176	0	0	0	0	0	0	0	0
	ENSG00000256378	227	0	0	0	0	0	0	0	0
PTHLH	ENSG00000087494	3405	3	6	1	1	2	1	1	1
CEP290	ENSG00000198707	25131	1490	1171	2376	1475	1317	2623	1885	1870
RPSAP52	ENSG00000241749	2035	0	0	0	0	0	0	0	0
	ENSG00000277945	301	0	0	0	0	0	0	0	0
HMGA2-AS1	ENSG00000197301	6033	0	0	0	0	0	0	0	0
	ENSG00000256083	454	0	0	0	0	0	0	0	0
MIR6074	ENSG00000276878	107	0	0	0	0	0	0	0	0
LINC02425	ENSG00000256259	376	0	0	0	0	0	0	0	0
RPL21P18	ENSG00000213343	480	0	0	0	0	0	0	0	2
RNA5SP362	ENSG00000251857	118	0	0	0	0	0	0	0	0
RN7SL69P	ENSG00000240533	272	0	0	0	0	0	0	0	0
	ENSG00000255775	653	1	0	0	0	0	0	0	0
Y_RNA	ENSG00000202318	111	0	0	2	0	0	1	0	0
ATP5MFP5	ENSG00000256103	258	1	1	1	1	0	1	0	0
TNFRSF1A	ENSG00000067182	4005	78	137	90	57	112	80	86	130
RN7SL391P	ENSG00000265388	284	0	0	0	0	0	0	0	0
VWF	ENSG00000110799	10387	4	0	2	0	3	0	3	1
LINC01498	ENSG00000247213	3909	0	1	0	0	6	1	1	3
FICD	ENSG00000198855	4175	59	60	121	63	59	93	131	105
SART3	ENSG00000075856	7637	3392	3568	4689	2588	3357	4582	3849	4726
	ENSG00000287202	2388	31	29	44	40	26	39	51	38
ISCU	ENSG00000136003	4423	1402	1758	1992	1270	1755	1907	1625	2053
TMEM119	ENSG00000183160	3184	1333	1413	1337	655	1315	1422	1166	2136
	ENSG00000257221	2116	1	1	0	1	0	1	0	0
MIR4496	ENSG00000284388	61	0	0	0	0	0	0	0	0
RNU7-169P	ENSG00000238457	61	0	0	0	0	0	2	0	0
EMP1	ENSG00000134531	7833	1	4	2	1	4	1	0	6
	ENSG00000286869	2116	0	0	0	0	0	0	0	0
LINC01559	ENSG00000180861	3953	0	0	0	0	0	0	0	0
RNA5SP353	ENSG00000201476	118	0	0	0	0	0	0	0	0
RNU6-590P	ENSG00000201909	107	0	0	0	0	0	0	0	0
	ENSG00000256306	578	0	0	0	0	0	0	0	0
	ENSG00000277935	546	0	0	0	0	0	0	0	0
	ENSG00000287928	627	0	0	0	0	0	0	0	0
RN7SKP162	ENSG00000200475	345	0	0	0	0	0	0	0	0
	ENSG00000256346	132	0	0	0	0	0	0	0	0
GSG1	ENSG00000111305	3033	1	1	1	3	0	3	3	2
TSPAN11	ENSG00000110900	7116	1287	1238	551	290	1089	626	478	1973
EIF4B	ENSG00000063046	6028	11579	12822	15182	9584	11585	16096	12372	16733
TWF1	ENSG00000151239	3885	2382	2468	3011	2084	2370	3314	2597	3147
SLCO1C1	ENSG00000139155	4883	14	9	4	2	18	9	12	11
ZNF641	ENSG00000167528	8502	455	365	692	380	449	742	511	608
KIF21A	ENSG00000139116	10117	16816	14476	19908	12455	15531	21228	17164	21925
NELL2	ENSG00000184613	6405	70	75	186	134	88	172	186	109
LDHB	ENSG00000111716	2983	1937	2362	1958	1043	1446	1963	1154	2049
KERA	ENSG00000139330	2203	0	0	0	0	0	0	0	0
RAB3IP	ENSG00000127328	12433	649	491	1258	813	548	1366	1085	810
LRIG3	ENSG00000139263	5875	1	0	0	1	2	2	0	0
ZNF385A	ENSG00000161642	3189	1260	1485	1394	705	1224	1350	1307	1819
CD163L1	ENSG00000177675	5658	85	85	155	95	122	125	112	120
RFX4	ENSG00000111783	6686	0	0	2	0	0	1	3	2
TPCN1	ENSG00000186815	8728	1039	872	1514	842	1025	1646	1247	1727
SELPLG	ENSG00000110876	2811	2	0	5	1	1	3	7	6
SSPN	ENSG00000123096	6780	320	315	222	183	327	268	195	414
CORO1C	ENSG00000110880	6462	5210	5438	7161	4210	4958	7080	6054	6601
AQP2	ENSG00000167580	4306	0	0	2	2	0	0	1	3
WSB2	ENSG00000176871	4623	3780	4331	4243	2526	3710	4233	3709	5224
PDE3A	ENSG00000172572	13308	1533	1109	1170	862	1532	1289	1063	1928
MED13L	ENSG00000123066	32862	2084	1545	3267	1814	1728	3556	3307	2889
KLRC1	ENSG00000134545	2727	0	0	0	0	0	0	0	0
LINC02909	ENSG00000226397	2683	0	3	0	0	0	0	0	0
CENPUP2	ENSG00000258546	1186	0	0	0	0	0	0	0	0
	ENSG00000258449	490	0	0	0	0	0	0	0	0
	ENSG00000276842	746	2	0	0	0	0	0	0	0
DNAI7	ENSG00000118307	3126	16	14	29	12	10	19	15	15
ETFRF1	ENSG00000205707	2474	242	257	412	255	211	436	365	346
	ENSG00000274987	582	4	2	16	9	2	15	14	4
	ENSG00000275197	563	2	0	1	4	1	3	0	0
	ENSG00000278743	572	10	14	19	9	5	16	13	11
RNU4-67P	ENSG00000201439	141	0	0	0	0	0	0	0	0
	ENSG00000241846	153	0	0	0	0	0	0	0	0
	ENSG00000279173	1343	3	0	0	0	4	0	0	1
FAM133GP	ENSG00000256079	658	0	0	0	0	0	0	0	0
TUBB4BP1	ENSG00000255988	178	0	0	0	0	0	0	0	0
MANSC4	ENSG00000205693	1667	6	0	13	2	5	3	8	6
	ENSG00000258168	6368	2	2	1	1	1	1	2	4
	ENSG00000277247	472	1	0	0	0	0	0	0	0
FAHD2P1	ENSG00000257302	939	2	4	3	3	3	2	1	4
UNG	ENSG00000076248	2544	2084	2382	2313	1366	2094	2304	2199	2764
	ENSG00000256139	910	38	19	51	25	21	63	63	40
FOXN4	ENSG00000139445	3536	361	306	333	184	411	374	299	574
MYO1H	ENSG00000174527	4792	22	17	11	14	22	31	21	42
LINC01486	ENSG00000256560	716	0	0	0	0	0	0	0	0
	ENSG00000255655	603	5	0	0	0	0	2	1	1
KCTD10	ENSG00000110906	9681	2287	2309	3368	1863	2444	3229	2993	3184
UBE3B	ENSG00000151148	12453	2373	2231	3194	1906	2182	3290	2790	3330
MMAB	ENSG00000139428	6018	928	1162	1004	498	976	969	820	1303
RNU4-32P	ENSG00000200274	141	0	0	0	0	0	0	0	0
MVK	ENSG00000110921	6488	794	997	856	421	924	901	731	1211
RN7SKP250	ENSG00000200794	321	0	0	0	0	0	0	0	0
ZCCHC8	ENSG00000033030	9125	1420	1041	1549	1003	1434	1779	1243	1945
	ENSG00000252192	129	1	0	1	2	4	6	4	2
	ENSG00000275265	455	2	2	2	0	0	3	1	2
RSRC2	ENSG00000111011	8745	2362	2189	3406	2177	2339	3502	2994	3093
KNTC1	ENSG00000184445	11325	3542	2941	3850	2802	3548	4162	3373	5052
	ENSG00000255972	28	2	0	0	0	0	0	0	0
	ENSG00000274191	544	9	17	5	3	11	11	17	21
	ENSG00000256249	2090	1	1	0	0	0	0	0	3
HCAR2	ENSG00000182782	2065	1	0	0	0	1	1	0	1
HCAR3	ENSG00000255398	2056	0	0	0	0	0	0	1	0
HCAR1	ENSG00000196917	4769	0	1	0	0	0	1	0	0
	ENSG00000256044	106	0	0	0	0	0	0	0	0
Y_RNA	ENSG00000206914	102	0	1	0	5	2	1	2	0
CCDC62	ENSG00000130783	4280	11	17	11	8	16	16	8	15
HIP1R	ENSG00000130787	7072	1197	1280	2368	1182	1391	2462	2089	1915
VPS37B	ENSG00000139722	5634	819	994	1088	592	846	1115	993	1353
	ENSG00000256152	484	0	0	0	0	0	0	0	0
	ENSG00000280138	18662	76	40	112	62	64	94	93	90
OGFOD2	ENSG00000111325	4608	50	51	76	27	36	92	74	62
	ENSG00000256028	5618	0	0	1	0	0	1	0	0
MIR4304	ENSG00000265526	62	0	0	0	0	0	0	0	0
PITPNM2-AS1	ENSG00000251497	2289	0	0	0	0	0	0	0	0
	ENSG00000280381	5566	3	1	0	0	0	0	0	2
	ENSG00000280120	1054	215	228	348	263	221	395	287	361
	ENSG00000260122	896	0	0	0	0	0	0	0	0
	ENSG00000260473	2154	12	7	19	11	10	30	19	9
	ENSG00000261586	2094	0	0	0	0	0	0	0	0
FIGNL2-DT	ENSG00000259887	427	3	14	10	6	15	10	5	15
ANKRD33	ENSG00000167612	3719	3	4	6	7	1	5	6	4
	ENSG00000258021	772	0	0	0	0	0	0	0	0
ACVRL1	ENSG00000139567	4961	90	113	30	16	95	28	29	122
ACVR1B	ENSG00000135503	5658	1252	1210	1939	1146	1357	2012	1896	1901
RNU6-574P	ENSG00000206992	107	3	3	2	2	0	3	4	2
TAMALIN	ENSG00000161835	2823	99	116	161	65	109	135	116	154
NR4A1	ENSG00000123358	7295	443	438	429	229	419	402	344	618
NR4A1AS	ENSG00000259884	915	5	0	3	0	1	0	0	0
	ENSG00000257663	647	0	0	0	0	0	0	0	0
	ENSG00000257860	2573	0	0	0	0	0	0	0	0
	ENSG00000257415	1556	0	0	0	0	0	0	0	0
	ENSG00000257994	395	0	0	0	0	0	0	0	0
	ENSG00000286197	1092	0	0	0	0	0	0	0	0
LINC02401	ENSG00000257762	4990	0	0	1	0	0	1	0	0
STAB2	ENSG00000136011	9280	4	2	3	0	3	7	4	3
U8	ENSG00000212594	132	0	0	0	0	0	0	0	0
	ENSG00000257737	478	0	0	0	0	0	0	0	0
	ENSG00000257766	468	0	0	0	0	0	0	0	0
	ENSG00000257681	1063	7	5	9	2	3	1	9	10
KIF5A	ENSG00000155980	12245	896	656	1178	709	869	1221	928	1377
OR6U2P	ENSG00000272937	4384	0	0	0	0	0	0	0	0
	ENSG00000258921	488	0	0	0	0	0	0	0	0
OR10AE3P	ENSG00000272837	469	0	0	0	0	0	1	0	0
PSMB3P1	ENSG00000258907	611	0	0	0	0	0	0	0	0
	ENSG00000270458	165	0	0	0	0	0	0	0	0
	ENSG00000258311	3510	48	42	74	37	51	92	54	58
RDH5	ENSG00000135437	2983	36	23	63	41	22	73	52	59
CD63	ENSG00000135404	2422	4883	6390	7176	4123	5417	6556	5811	6094
METAZOA_SRP	ENSG00000258045	268	2	1	9	1	8	11	2	5
	ENSG00000257384	283	1	0	3	1	0	3	2	0
	ENSG00000275898	2699	0	0	0	0	0	0	0	0
	ENSG00000258249	486	0	0	0	0	0	0	0	0
	ENSG00000257883	876	0	0	0	0	0	0	0	2
	ENSG00000257654	366	0	0	0	0	0	0	0	0
SPRING1	ENSG00000111412	8678	2780	2428	3788	2199	2487	3981	3553	3486
	ENSG00000239374	480	0	0	1	1	0	0	0	0
RNU6-558P	ENSG00000201382	104	1	2	0	0	0	1	1	0
	ENSG00000275467	455	2	0	4	6	3	8	3	9
HRK	ENSG00000135116	6853	145	104	72	52	138	96	53	190
	ENSG00000240100	316	0	0	1	0	1	0	0	0
	ENSG00000274554	2685	9	5	17	14	8	14	7	19
OR6C70	ENSG00000184954	939	0	0	0	0	0	0	0	0
OR6C68	ENSG00000205327	939	0	0	0	0	0	0	0	0
OR6C64P	ENSG00000234670	825	0	0	0	0	0	0	0	0
SLC26A10	ENSG00000135502	4276	73	48	82	65	54	104	64	92
SCNN1A	ENSG00000111319	5876	0	0	0	0	0	0	0	0
LTBR	ENSG00000111321	6151	0	0	0	0	0	0	0	0
	ENSG00000256433	1841	0	0	0	0	0	0	0	1
	ENSG00000213942	377	0	0	0	0	0	0	2	0
SRP14P1	ENSG00000224906	355	0	0	1	1	0	0	0	0
TAPBPL	ENSG00000139192	3188	16	11	17	14	12	41	28	24
	ENSG00000276718	599	0	1	6	6	3	5	7	2
	ENSG00000256913	2494	0	0	1	0	0	1	0	0
CD9	ENSG00000010278	5829	341	480	222	158	456	159	176	409
RNU6-343P	ENSG00000201579	104	3	1	1	0	1	2	3	7
ATP5F1B	ENSG00000110955	2238	16672	21036	22807	13161	16726	22706	20343	23861
SNORD59A	ENSG00000207031	75	4	0	10	7	4	3	5	8
PTGES3	ENSG00000110958	3399	9338	10749	9988	6856	9453	10637	8815	12434
RN7SL809P	ENSG00000241217	297	6	4	18	3	1	11	4	8
	ENSG00000285625	588	0	0	1	0	2	1	0	0
PRIM1	ENSG00000198056	2855	791	772	992	621	835	1049	736	1081
HSD17B6	ENSG00000025423	2272	71	69	44	20	74	47	33	94
NACA	ENSG00000196531	11267	8629	12291	11300	6263	9444	11333	9168	12252
	ENSG00000283536	835	0	0	0	0	0	2	0	0
MFSD5	ENSG00000182544	2583	529	691	754	428	551	721	627	809
ESPL1	ENSG00000135476	8885	2976	2845	3710	2301	3138	3779	3344	4211
PFDN5	ENSG00000123349	4078	266	284	358	223	303	385	266	405
	ENSG00000288663	5699	39	44	108	62	79	84	82	94
MYG1	ENSG00000139637	2500	6	10	23	5	7	11	10	12
AAAS	ENSG00000094914	4727	1314	1534	2287	1353	1489	2333	2114	2088
SP7	ENSG00000170374	3386	3	3	3	1	1	2	1	0
SP1	ENSG00000185591	8083	5002	3295	4651	2801	4130	4838	3962	6511
AMHR2	ENSG00000135409	3656	10	12	7	0	5	4	3	9
PRR13	ENSG00000205352	2824	582	725	533	332	608	524	356	844
CBX5	ENSG00000094916	15038	15220	12259	20828	13429	13446	22332	18653	20978
MIR3198-2	ENSG00000283803	80	0	0	0	0	0	0	0	0
RN7SL390P	ENSG00000241785	284	1	1	1	0	0	1	0	0
SCAT2	ENSG00000257596	735	0	0	0	2	0	0	0	2
	ENSG00000258344	567	8	3	12	7	8	9	1	21
NFE2	ENSG00000123405	2363	0	1	0	0	0	0	0	0
COPZ1	ENSG00000111481	3898	2555	2905	3728	2117	2637	3815	3364	3523
RNU6-950P	ENSG00000207381	107	0	0	0	0	0	0	0	0
MIR148B	ENSG00000199122	99	0	0	0	0	0	0	0	0
RN7SL744P	ENSG00000264028	267	0	0	0	1	0	0	1	0
GPR84	ENSG00000139572	2043	5	1	3	2	5	3	2	4
MRPL51	ENSG00000111639	1388	2610	3678	2927	1599	2892	2634	2620	3244
NCAPD2	ENSG00000010292	6470	7233	7320	9408	5876	7299	9658	8749	10029
SCARNA10	ENSG00000239002	330	0	0	1	1	0	0	0	1
	ENSG00000276232	248	0	0	0	0	0	0	0	0
GAPDH-DT	ENSG00000255966	477	9	5	15	5	8	18	7	17
GAPDH	ENSG00000111640	2396	30954	33357	52800	29605	29380	54164	47505	43531
	ENSG00000269968	422	0	0	0	0	0	0	0	0
	ENSG00000245667	560	5	1	10	4	6	7	14	7
NOP2	ENSG00000111641	4687	66	48	124	59	84	110	117	101
	ENSG00000285238	8514	0	0	1	0	0	0	0	0
CHD4	ENSG00000111642	12713	996	1716	1524	946	1148	1616	1362	1655
	ENSG00000247853	2196	8	7	13	3	14	14	12	14
SCARNA11	ENSG00000251898	136	1	0	4	1	2	1	1	0
YAF2	ENSG00000015153	10839	625	665	650	373	575	638	537	838
PPHLN1	ENSG00000134283	12155	2493	2342	3219	2171	2595	3584	2619	3543
	ENSG00000257674	1650	1	5	2	0	5	3	2	8
ZCRB1	ENSG00000139168	9545	1309	1490	1476	796	1208	1599	1411	1592
MIR7851	ENSG00000278520	160	0	0	0	0	0	0	0	0
SNORA74	ENSG00000252917	154	0	0	1	0	0	0	0	2
	ENSG00000274943	437	43	52	69	42	43	67	44	70
RNU6-249P	ENSG00000199886	102	0	0	0	0	0	0	0	0
	ENSG00000257376	775	4	0	0	1	0	3	3	1
Y_RNA	ENSG00000207142	102	1	0	3	2	1	1	1	2
	ENSG00000257225	2791	9	9	5	6	10	19	11	10
IFFO1	ENSG00000010295	4945	662	726	1449	819	780	1522	1240	1209
TMEM233	ENSG00000224982	2840	1	2	0	0	2	0	0	1
RN7SKP197	ENSG00000252886	297	0	0	0	0	0	0	0	0
PRKAB1	ENSG00000111725	6042	981	993	1370	801	950	1455	1290	1401
CIT	ENSG00000122966	28605	1689	1404	2581	1611	1615	2630	2339	2356
	ENSG00000255692	451	4	1	5	4	6	1	9	5
MIR1178	ENSG00000283768	91	0	0	0	0	0	0	0	0
RPL35AP30	ENSG00000226729	331	0	0	0	0	0	0	0	0
METAZOA_SRP	ENSG00000278250	362	0	0	0	0	0	0	0	0
MLF2	ENSG00000089693	3367	4116	5497	6949	3478	4691	7179	6398	6108
PHB2	ENSG00000215021	4226	5926	7760	8675	4820	6356	8554	7748	9139
NFYB	ENSG00000120837	4899	1115	1183	1343	843	1067	1340	1010	1500
RNA5SP370	ENSG00000199415	121	0	2	1	0	1	0	0	0
LINC02385	ENSG00000257193	428	0	0	0	0	0	0	0	0
	ENSG00000286258	734	0	0	0	0	0	0	0	0
	ENSG00000257732	701	0	0	0	0	0	0	0	0
RPL18AP3	ENSG00000213442	528	1173	1130	1161	711	924	1510	589	1491
EID3	ENSG00000255150	1467	7	3	12	7	9	6	11	7
RNFT2	ENSG00000135119	7621	724	663	791	542	604	1024	802	801
	ENSG00000257279	4196	13	5	28	21	14	37	15	14
HMGA2	ENSG00000149948	15070	0	0	0	0	0	0	0	0
CNOT2	ENSG00000111596	13985	2223	2126	3072	2003	2246	3432	2488	3016
VAMP1	ENSG00000139190	3270	130	148	303	237	182	422	372	247
HNRNPA1	ENSG00000135486	6697	35801	41112	48842	28628	35091	47161	39981	45501
KICS2	ENSG00000174206	6002	339	273	417	253	320	482	336	424
RNU6-1009P	ENSG00000212298	107	0	0	0	0	0	0	0	0
RNU5A-7P	ENSG00000251788	116	0	0	1	0	0	0	1	0
C12ORF56	ENSG00000185306	5070	1	2	2	0	2	1	0	2
OOEPP2	ENSG00000256192	354	0	0	0	0	0	0	0	0
ATP6V1E1P3	ENSG00000256293	620	1	0	0	2	3	1	0	1
	ENSG00000238440	104	0	0	0	0	0	0	0	0
XPOT	ENSG00000184575	7320	6892	6571	6274	4076	6320	6889	5585	9123
	ENSG00000255566	504	20	18	10	15	8	13	10	21
	ENSG00000277895	1311	3	0	2	0	1	1	2	0
	ENSG00000256199	712	0	1	0	0	0	0	0	0
SNORD83	ENSG00000223294	77	0	0	0	0	0	0	0	0
RASSF3-DT	ENSG00000256670	254	1	0	0	0	0	0	0	2
MIR548Z	ENSG00000266016	97	0	0	0	0	0	0	0	0
MIR548C	ENSG00000207546	97	0	0	0	0	0	0	0	0
	ENSG00000225195	281	0	0	0	2	0	0	0	0
	ENSG00000256314	482	0	0	0	0	0	0	0	1
	ENSG00000285901	3435	0	0	0	0	0	0	0	0
DCTN2	ENSG00000175203	9995	2635	3088	3381	1949	2784	3542	2949	3607
	ENSG00000287618	595	1	0	0	0	0	0	0	2
DIABLO	ENSG00000184047	6960	202	195	163	90	200	187	144	316
PRPF40B	ENSG00000110844	9444	388	366	534	274	369	656	502	581
USP5	ENSG00000111667	3718	4484	5884	7792	3995	4794	7318	7147	6650
PTPRB	ENSG00000127329	14538	57	84	4	4	52	15	13	122
CD27	ENSG00000139193	1322	1	0	0	0	0	0	5	0
PIANP	ENSG00000139200	3282	827	832	649	355	870	674	643	1286
FRS2	ENSG00000166225	7246	1469	1211	1932	1183	1254	2009	1705	1967
RERGL	ENSG00000111404	1549	0	0	0	0	0	0	0	0
SLC2A14	ENSG00000173262	5575	0	0	0	0	0	0	0	0
BAZ2A	ENSG00000076108	10936	4763	3167	7419	4175	4071	7442	6408	6427
ATP2B1	ENSG00000070961	9500	1843	1862	3128	2089	1596	3350	2884	2370
AMIGO2	ENSG00000139211	3964	0	0	0	0	0	0	0	0
CLEC4C	ENSG00000198178	1566	0	0	0	0	0	0	0	0
PPFIA2	ENSG00000139220	8573	1	1	0	0	1	0	0	2
RAD51AP1	ENSG00000111247	2557	996	1135	962	663	1102	1071	829	1507
MRPL42	ENSG00000198015	16368	3155	3075	3427	2251	2817	3989	3069	4006
PARPBP	ENSG00000185480	4747	820	873	1052	737	769	1145	881	1194
TAS2R8	ENSG00000121314	1236	0	0	0	3	1	1	0	4
CCDC92	ENSG00000119242	8219	1411	1682	2570	1383	1598	2655	2375	2227
